6567
272,597,108,197,211
274,597,108,197,211
270,597,108,197,207
272,599,108,197,211
272,595,109,197,211
276,597,108,197,211
274,599,106,198,211
274,595,111,196,211
268,597,108,197,207
270,599,108,197,207
270,595,108,197,207
272,601,106,195,209
272,593,111,196,211
278,597,108,197,211
276,599,106,198,211
276,595,111,196,211
274,601,104,196,209
274,593,113,196,211
266,597,108,197,207
268,599,108,197,207
268,595,108,197,207
270,601,107,196,206
270,593,108,197,207
272,603,106,194,208
272,591,110,198,212
280,597,108,197,211
278,599,106,198,211
278,595,111,196,211
276,601,104,196,209
276,593,113,196,211
274,603,106,194,208
274,591,112,197,212
264,597,108,197,207
266,599,108,197,207
266,595,108,197,207
268,601,107,196,206
268,593,108,197,207
270,603,108,197,207
270,591,109,198,208
272,605,109,194,209
272,589,110,199,210
282,597,108,197,211
280,599,105,197,210
280,595,111,196,211
278,601,104,196,209
278,593,113,196,211
276,603,106,194,208
276,591,111,196,211
274,605,109,194,209
274,589,110,199,210
262,597,108,197,207
264,599,108,197,207
264,595,108,197,207
266,601,106,195,205
266,593,108,197,207
268,603,107,196,206
268,591,109,198,208
270,605,105,194,204
270,589,109,198,208
272,607,106,192,204
272,587,110,199,209
284,597,108,197,211
282,599,106,198,211
282,595,112,197,212
280,601,105,197,210
280,593,114,197,212
278,603,106,194,208
278,591,110,195,210
276,605,109,194,209
276,589,109,198,209
274,607,108,191,206
274,587,110,199,209
260,597,107,196,206
262,599,106,195,205
262,595,109,198,208
264,601,105,194,204
264,593,108,197,207
266,603,107,196,206
266,591,109,198,208
268,605,106,195,205
268,589,109,198,208
270,607,103,192,202
270,587,110,199,209
272,609,106,193,203
272,585,110,200,207
286,597,106,195,209
284,599,106,198,211
284,595,112,197,212
282,601,105,197,210
282,593,115,198,213
280,603,105,193,207
280,591,112,197,212
278,605,109,194,209
278,589,109,198,209
276,607,108,191,206
276,587,110,199,209
274,609,106,193,203
274,585,110,200,207
258,597,109,198,208
260,599,107,196,206
260,595,108,197,207
262,601,107,196,206
262,593,109,198,208
264,603,107,196,206
264,591,109,198,208
266,605,106,195,205
266,589,109,198,208
268,607,104,193,203
268,587,110,199,209
270,609,103,193,200
270,585,111,200,210
272,611,105,192,202
272,583,110,200,207
288,597,108,197,208
286,599,104,196,209
286,595,110,195,210
284,601,105,197,210
284,593,114,197,212
282,603,105,193,207
282,591,112,197,212
280,605,106,191,206
280,589,110,199,210
278,607,108,191,206
278,587,110,199,209
276,609,106,193,203
276,585,111,201,208
274,611,105,192,202
274,583,111,202,207
256,597,107,196,206
258,595,112,201,211
260,601,106,195,205
260,593,109,198,208
262,603,107,196,206
262,591,109,198,208
264,605,107,196,206
264,589,109,198,208
266,607,105,194,204
266,587,110,199,209
268,609,104,194,201
268,585,111,200,210
270,611,102,192,199
270,583,110,199,209
272,613,104,191,201
272,581,110,199,209
290,597,108,197,207
288,599,106,195,206
288,595,111,197,209
286,601,104,196,209
286,593,113,196,211
284,603,107,195,209
284,591,112,197,212
282,605,106,191,206
282,589,110,199,210
280,607,110,193,208
280,587,111,200,210
278,609,106,193,203
278,585,112,202,209
276,611,105,192,202
276,583,112,203,208
274,613,104,191,201
274,581,111,200,210
254,597,107,198,207
256,599,108,197,207
256,595,107,196,206
258,601,107,196,206
260,603,105,194,204
258,593,107,196,206
260,591,108,197,207
262,605,106,195,205
262,589,110,199,209
264,607,105,194,204
264,587,110,199,209
266,609,104,194,201
266,585,111,200,210
268,611,103,193,200
268,583,111,200,210
270,613,102,192,199
270,581,110,199,209
272,615,104,191,201
272,579,110,199,210
292,597,107,198,207
290,599,106,195,205
290,595,111,198,208
288,601,110,196,208
288,593,114,196,208
286,603,108,196,210
286,591,112,197,212
284,605,107,192,207
284,589,110,199,210
282,607,109,192,207
282,587,111,200,210
280,585,112,202,209
280,609,105,192,202
278,611,105,192,202
278,583,111,202,207
276,613,104,191,201
276,581,112,201,211
274,615,104,191,201
274,579,111,200,211
252,597,107,198,207
254,599,106,195,205
254,595,106,197,206
256,601,108,197,207
256,593,109,198,208
258,603,106,195,205
260,605,105,194,204
258,591,109,198,208
260,589,109,198,208
262,607,105,194,204
262,587,111,200,210
264,609,105,195,202
264,585,111,200,210
266,611,104,194,201
266,583,110,199,209
268,613,102,192,199
268,581,111,200,210
270,615,101,191,198
270,579,110,199,209
272,617,105,192,202
272,577,110,199,210
294,597,103,198,207
292,599,105,196,205
292,595,109,198,208
290,601,110,197,207
290,593,112,197,207
288,603,112,194,206
288,591,114,197,212
286,605,107,192,207
286,589,110,199,210
284,607,108,191,206
284,587,111,200,210
282,609,105,192,202
282,585,112,202,209
280,583,112,203,208
280,611,105,192,202
278,613,104,191,201
278,581,111,200,210
276,615,104,191,201
276,579,112,201,212
274,617,105,192,202
274,577,111,199,213
250,597,106,197,206
252,599,105,194,204
252,595,105,196,205
254,601,108,195,205
254,593,109,200,209
256,603,107,196,206
256,591,110,199,209
258,605,105,194,204
260,607,104,193,203
258,589,109,198,208
